ID,Name,Description
S05_140,to be hungry,
S05_141,the famine,
S05_160,to suck,
S05_180,to chew,
S05_181,to swallow,
S05_190,to choke,
S05_210,to cook,
S05_220,to boil,
S05_230,to roast or fry,
S05_240,to bake,
S05_250,the oven,
S05_260,the pot,
S05_270,the kettle,
S05_280,the pan,
S05_310,the dish,
S05_320,the plate,
S05_330,the bowl,
S05_340,the jug/pitcher,
S05_350,the cup,
S05_360,the saucer,
S05_370,the spoon,
S05_380,the knife(1),
S05_390,the fork,
S05_391,the tongs,
S05_410,the meal,
S05_420,the breakfast,
S05_430,the lunch,
S05_440,the dinner,
S05_450,the supper,
S05_460,to peel,
S05_470,to sieve or to strain,
S05_480,to scrape,
S05_490,to stir or to mix,
S05_510,the bread,
S05_530,the dough,
S05_540,to knead,
S05_550,the flour,
S05_560,to crush or to grind,
S05_570,the mill,
S05_580,the mortar(1),
S05_590,the pestle,
S05_610,the meat,
S05_640,the soup,
S05_650,the vegetables,
S05_660,the bean,
S05_700,the potato,
S05_710,the fruit,
S05_712,the bunch,
S05_750,the fig,
S05_760,the grape,
S05_770,the nut,
S05_780,the olive,
S05_790,the oil,
S05_791,the grease or fat,
S05_810,the salt,
S05_820,the pepper,
S05_821,the chili pepper,
S05_840,the honey,
S05_850,the sugar,
S05_860,the milk,
S05_870,to milk,
S05_880,the cheese,
S05_890,the butter,
S05_900,the drink,
S05_910,the mead,
S05_920,the wine,
S05_930,the beer,
S05_970,the egg,
S05_971,the yolk,
S06_110,to put on,
S06_120,the clothing or clothes,
S06_130,the tailor,
S06_210,the cloth,
S06_220,the wool,
S06_230,the linen,
S06_240,the cotton,
S06_250,the silk,
S06_270,the felt,
S06_280,the fur,
S06_290,the leather,
S06_310,to spin,
S06_320,the spindle,
S06_330,to weave,
S06_340,the loom,
S06_350,to sew,
S06_360,the needle(1),
S06_370,the awl,
S06_380,the thread,
S06_390,to dye,
S06_410,the cloak,
S06_420,the (woman's) dress,
S06_430,the coat,
S06_440,the shirt,
S06_450,the collar,
S06_460,the skirt,
S06_480,the trousers,
S06_490,the sock or stocking,
S06_510,the shoe,
S06_520,the boot,
S06_540,the shoemaker,
S06_550,the hat or cap,
S06_570,the belt,
S06_580,the glove,
S06_590,the veil,
S06_610,the pocket,
S06_620,the button,
S06_630,the pin,
S06_720,the jewel,
S06_730,the ring,
S06_740,the bracelet,
S06_750,the necklace,
S06_760,the bead,
S06_770,the earring,
S06_790,the tattoo,
S06_810,the handkerchief or rag,
S06_820,the towel,
S06_910,the comb,
S06_920,the brush,
S06_921,the plait/braid,
S06_930,the razor,
S06_940,the ointment,
S06_950,the soap,
S06_960,the mirror,
S07_110,to live,
S07_120,the house,
S07_130,the hut,
S07_131,the garden-house,
S07_140,the tent,
S07_150,the yard or court,
S07_170,the cookhouse,
S07_210,the room,
S07_220,the door or gate,
S07_230,the lock,
S07_231,the latch or door-bolt,
S07_240,the key,
S07_250,the window,
S07_260,the floor,
S07_270,the wall,
S07_320,the stove,
S07_330,the chimney,
S07_370,the ladder,
S07_420,the bed,
S07_421,the pillow,
S07_422,the blanket,
S07_430,the chair,
S07_440,the table,
S07_450,the lamp or torch,
S07_460,the candle,
S07_470,the shelf,
S07_480,the trough,
S07_510,the roof,
S07_520,the thatch,
S07_550,the beam,
S07_560,the post or pole,
S07_570,the board,
S07_580,the arch,
S07_610,the mason,
S07_620,the brick,
S07_630,the mortar(2),
S07_640,the adobe,
S08_110,the farmer,
S08_120,the field,
S08_130,the garden,
S08_150,to cultivate,
S08_160,the fence,
S08_170,the ditch,
S08_210,to plough/plow,
S08_212,the furrow,
S08_220,to dig,
S08_230,the spade,
S08_240,the shovel,
S08_250,the hoe,
S08_260,the fork(2)/pitchfork,
S08_270,the rake,
S08_310,to sow,
S08_311,the seed,
S08_320,to mow,
S08_330,the sickle or scythe,
S08_340,to thresh,
S08_350,the threshing-floor,
